"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-27
2	NA	NA	NA	3	-24
3	NA	NA	NA	6	-21
4	NA	NA	NA	9	-18
5	NA	NA	NA	12	-15
6	NA	NA	NA	15	-12
7	NA	NA	NA	18	-9
8	NA	NA	NA	21	-6
9	NA	NA	NA	24	-3
10	NA	NA	NA	27	0
11	275.139328063241	560.045454545455	232.482213438735	30	3
12	346.278656126482	782.120553359684	245.559288537549	33	6
13	221.835238095238	780.419105339105	228.277056277056	36	9
14	270.073969331322	780.571581196581	236.455756661639	39	12
15	286.240701754386	805.882807017544	225.649122807018	42	15
16	252.762941707249	709.129082416635	224.730123671395	45	18
17	267.910930735931	803.385227272727	216.839366883117	48	21
18	263.558805397218	792.740579492885	217.092129820277	51	24
19	269.071786492375	851.674575163399	219.955882352941	54	27
20	273.014332514333	837.887043935431	221.517767033896	57	30
21	268.007360893075	816.729216814931	218.2694575266	60	33
22	267.769265104416	849.404516711834	219.576135820182	63	36
23	266.342037786775	854.319354475933	216.822778902384	66	39
24	268.113407088407	913.070965745966	219.383367983368	69	42
25	263.561078564899	975.89944464138	216.150080536328	72	45
26	252.40590448023	916.732324856682	214.679192331529	75	48
27	261.358959880699	1033.02627372627	216.456989387424	78	51
28	269.222202295552	875.345910127653	218.688509362469	81	54
29	261.722329721362	686.18943498452	216.974922600619	84	57
30	269.691196236559	615.713957272213	224.310253961517	87	60
31	267.203150825244	723.387759852876	222.278080405987	90	63
32	261.748801973221	888.032787174066	217.778787878788	93	66
