"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	NA	NA	NA	0	-27
2	NA	NA	NA	3	-24
3	NA	NA	NA	6	-21
4	NA	NA	NA	9	-18
5	NA	NA	NA	12	-15
6	NA	NA	NA	15	-12
7	NA	NA	NA	18	-9
8	NA	NA	NA	21	-6
9	NA	NA	NA	24	-3
10	NA	NA	NA	27	0
11	1.12132515107729	1.1804595841554	0.838889409823153	30	3
12	0.709147455813172	1.40322434024203	0.813040850854045	33	6
13	0.377039848434988	1.25731820412815	0.727930379740329	36	9
14	0.632785616868327	1.13882319519243	0.764747872301657	39	12
15	0.840377561376725	1.32843426678139	0.726618332788529	42	15
16	0.799492525690887	1.16416536266634	0.707757528327021	45	18
17	0.908938417289088	1.3184949017229	0.743995948392725	48	21
18	0.897881626821308	1.35681129090993	0.711374097849017	51	24
19	0.952203534894881	1.42310041203608	0.753665931368191	54	27
20	0.975740630886346	1.38547105293185	0.771364699426652	57	30
21	0.971950026518758	1.35139374929684	0.729623149069022	60	33
22	1.00091526944911	1.45774271052669	0.760742009254984	63	36
23	1.00860436316329	1.4428461733206	0.75925447217362	66	39
24	1.01868452776168	1.52634221976109	0.752067256577626	69	42
25	1.02031530564447	1.56472520001428	0.785901466340589	72	45
26	0.974350984088043	1.44224895611758	0.787233255278886	75	48
27	1.02668886215921	1.69942591581699	0.793498384973921	78	51
28	1.04438391378306	1.46080723284929	0.782486304249495	81	54
29	1.01770798826056	1.1573519698606	0.745538465216098	84	57
30	1.08894115734246	0.983275641398389	0.799490257235894	87	60
31	1.10260086268049	1.21339255412779	0.820528785851693	90	63
32	1.12325000717025	1.47312584837448	0.836348277214459	93	66
