"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	206.399571428571	528.481285714286	521.500142857143	0	-78
2	207.265	562.773142857143	521.938571428571	3	-75
3	208.159714285714	588.271428571429	528.730142857143	6	-72
4	209.346714285714	612.858428571429	537.077142857143	9	-69
5	209.119571428571	625.487571428571	542.779285714286	12	-66
6	208.858142857143	616.7	544.656285714286	15	-63
7	209.911285714286	628.449428571429	534.185142857143	18	-60
8	208.837	590.348	547.559666666667	21	-57
9	204.054833333333	577.239166666667	539.1265	24	-54
10	207.221333333333	591.733166666667	565.774333333333	27	-51
11	209.425666666667	621.872333333333	584.219666666667	30	-48
12	210.761833333333	621.460833333333	614.190166666667	33	-45
13	210.410833333333	603.657666666667	645.473	36	-42
14	211.637833333333	605.872666666667	650.8315	39	-39
15	211.091	607.8765	663.448666666667	42	-36
16	211.545333333333	610.926	673.984833333333	45	-33
17	218.173142857143	664.568142857143	631.990571428571	48	-30
18	214.786833333333	638.902833333333	677.357	51	-27
19	212.6595	619.328666666667	692.2725	54	-24
20	212.362833333333	619.964666666667	700.9065	57	-21
21	213.809	622.3155	683.1195	60	-18
22	208.236	590.878166666667	679.125166666667	63	-15
23	211.391	609.2965	687.572	66	-12
24	211.690833333333	601.459333333333	709.489166666667	69	-9
25	219.216571428571	638.318428571429	662.932	72	-6
26	217.061333333333	632.905333333333	707.409	75	-3
27	216.483	592.0425	667.454333333333	78	0
28	217.8025	575.709	603.0995	81	3
29	249.306833333333	589.803833333333	746.388833333333	84	6
30	474.692833333333	671.315166666667	776.0455	87	9
31	352.559833333333	680.655	744.8275	90	12
32	279.910666666667	637.354	682.183833333333	93	15
33	254.700333333333	633.1675	623.834833333333	96	18
34	247.999166666667	647.745333333333	607.055666666667	99	21
35	246.070714285714	700.644428571429	612.325142857143	102	24
36	242.550571428571	726.301285714286	610.865571428571	105	27
37	233.168571428571	717.714428571429	573.685857142857	108	30
38	224.785571428571	681.169	533.444	111	33
39	224.380285714286	698.725857142857	524.616	114	36
