"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
10	NA	NA	NA	27	-60
11	NA	NA	NA	30	-57
12	NA	NA	NA	33	-54
13	NA	NA	NA	36	-51
14	NA	NA	NA	39	-48
15	NA	NA	NA	42	-45
16	NA	NA	NA	45	-42
17	NA	NA	NA	48	-39
18	NA	NA	NA	51	-36
19	NA	NA	NA	54	-33
20	NA	NA	NA	57	-30
21	NA	NA	NA	60	-27
22	NA	NA	NA	63	-24
23	NA	NA	NA	66	-21
24	NA	NA	NA	69	-18
25	235.58971291866	311.881047315258	1001.78774587985	72	-15
26	236.006960793546	357.761245566124	1080.89138179992	75	-12
27	240.531191074796	391.185321949857	965.39772766953	78	-9
28	235.559783062161	390.59613802968	960.015897848501	81	-6
29	235.738701376913	358.511873477321	1064.81807232214	84	-3
30	236.60673521819	338.673958401126	1142.15523805539	87	0
31	239.422340617038	282.532073917137	1040.59751301651	90	3
32	311.229515269468	326.82068226684	782.508203648656	93	6
33	187.570043103448	365.432183908046	798.041307471264	96	9
34	163.388888888889	254.833333333333	766.555555555556	99	12
35	189.701610583837	330.703767615761	832.701466781708	102	15
36	195.670066391941	316.469173534799	764.350858516484	105	18
37	202.77	330.31	793.29	108	21
38	215.101923076923	334.851398601399	760.638286713287	111	24
39	222.939643719807	355.484057971015	767.237952898551	114	27
40	231.414720572279	416.762872076244	757.559378390774	117	30
41	237.920448332422	436.086932750137	791.56984691088	120	33
42	246.671702244116	462.173271300857	855.338168217479	123	36
43	224.450549450549	433.147252747253	749.665384615385	126	39
44	216.825594190141	446.129511443662	693.580985915493	129	42
45	235.409909970228	430.075898177533	765.64324865982	132	45
46	220.792439743367	385.360065892145	758.022108548639	135	48
47	229.472972972973	386.263513513514	685.060810810811	138	51
48	227	393.143939393939	724.05303030303	141	54
49	218.967711598746	373.337774294671	686.324921630094	144	57
50	226.642720306513	387.196998722861	703.557151979566	147	60
51	233.554726209463	377.909526847422	746.125507708666	150	63
