"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	NA	NA	NA	0	-93
2	NA	NA	NA	3	-90
3	NA	NA	NA	6	-87
4	NA	NA	NA	9	-84
5	NA	NA	NA	12	-81
6	NA	NA	NA	15	-78
7	NA	NA	NA	18	-75
8	NA	NA	NA	21	-72
9	NA	NA	NA	24	-69
10	NA	NA	NA	27	-66
11	NA	NA	NA	30	-63
12	NA	NA	NA	33	-60
13	NA	NA	NA	36	-57
14	NA	NA	NA	39	-54
15	NA	NA	NA	42	-51
16	NA	NA	NA	45	-48
17	NA	NA	NA	48	-45
18	NA	NA	NA	51	-42
19	NA	NA	NA	54	-39
20	NA	NA	NA	57	-36
21	NA	NA	NA	60	-33
22	NA	NA	NA	63	-30
23	NA	NA	NA	66	-27
24	NA	NA	NA	69	-24
25	NA	NA	NA	72	-21
26	NA	NA	NA	75	-18
27	NA	NA	NA	78	-15
28	NA	NA	NA	81	-12
29	NA	NA	NA	84	-9
30	NA	NA	NA	87	-6
31	NA	NA	NA	90	-3
32	NA	NA	NA	93	0
33	1.02546600427938	0.728577784694774	1.01673407149454	96	3
34	1.13029888481334	0.947046186975404	1.00446593930355	99	6
35	1.07972193577756	0.925613397545098	1.03316770262446	102	9
36	1.00996053120863	1.03010998889401	0.995784226039819	105	12
37	0.924885501322908	0.709635827435657	0.959575918042028	108	15
38	0.951594643700577	0.589540614874222	1.00132527746887	111	18
39	1.02821128220378	0.696941627365039	0.97801974404134	114	21
40	1.06048980707857	0.862725279425232	1.00256512020902	117	24
41	1.07500673455183	0.934402793833877	1.02338802982021	120	27
42	1.03057832685242	0.960931023621208	1.00741288765183	123	30
43	1.01460880018561	0.967578716733147	0.986364282718454	126	33
44	1.015411702934	0.846210697817658	0.979445479390442	129	36
45	1.02668190099745	0.802925725471564	0.994430879978385	132	39
46	1.02426628870749	0.706669678100623	0.986642007236825	135	42
47	1.02847056348795	0.804937940431066	1.03926883394031	138	45
48	NA	NA	NA	141	48
49	NA	NA	NA	144	51
50	NA	NA	NA	147	54
51	NA	NA	NA	150	57
