"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-93
2	NA	NA	NA	3	-90
3	NA	NA	NA	6	-87
4	NA	NA	NA	9	-84
5	NA	NA	NA	12	-81
6	NA	NA	NA	15	-78
7	NA	NA	NA	18	-75
8	NA	NA	NA	21	-72
9	NA	NA	NA	24	-69
10	NA	NA	NA	27	-66
11	NA	NA	NA	30	-63
12	NA	NA	NA	33	-60
13	NA	NA	NA	36	-57
14	NA	NA	NA	39	-54
15	NA	NA	NA	42	-51
16	NA	NA	NA	45	-48
17	NA	NA	NA	48	-45
18	NA	NA	NA	51	-42
19	NA	NA	NA	54	-39
20	NA	NA	NA	57	-36
21	NA	NA	NA	60	-33
22	NA	NA	NA	63	-30
23	NA	NA	NA	66	-27
24	NA	NA	NA	69	-24
25	NA	NA	NA	72	-21
26	NA	NA	NA	75	-18
27	NA	NA	NA	78	-15
28	NA	NA	NA	81	-12
29	NA	NA	NA	84	-9
30	NA	NA	NA	87	-6
31	NA	NA	NA	90	-3
32	NA	NA	NA	93	0
33	239.8	352.044	323.867	96	3
34	250.307	371.568	337.317	99	6
35	239.27	397.213	332.8415	102	9
36	239.93	425.387	317.8835	105	12
37	250.02	286.1805	312.09	108	15
38	266.083	292.3355	348.6625	111	18
39	272.7225	355.38	341.9485	114	21
40	266.2665	353.575	336.0265	117	24
41	253.400666666667	331.639666666667	325.399	120	27
42	266.043	390.469	333.5175	123	30
43	257.601666666667	368.513333333333	327.814666666667	126	33
44	269.4695	386.614	349.0195	129	36
45	262.361333333333	336.986333333333	329.622333333333	132	39
46	250.546	352.984666666667	334.124	135	42
47	262.3275	450.268	348.5655	138	45
48	NA	NA	NA	141	48
49	NA	NA	NA	144	51
50	NA	NA	NA	147	54
51	NA	NA	NA	150	57
