"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
24	NA	NA	NA	69	-12
25	NA	NA	NA	72	-9
26	NA	NA	NA	75	-6
27	NA	NA	NA	78	-3
28	204.09582956817	462.406451436239	271.925868725869	81	0
29	207.047578184592	513.956995585142	276.597258338534	84	3
30	234.347794117647	568.197222222222	275.875571895425	87	6
31	217.137803564434	626.900403120512	285.394862253558	90	9
32	219.40911772815	634.185014376305	277.713464492497	93	12
33	225.635559982812	628.640333606781	279.722954021641	96	15
