"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	209.219979370255	381.848993166538	301.731972069846	0	-75
2	209.150966274825	397.06491858226	298.147664664609	3	-72
3	207.189099753021	408.464682108765	296.76423311493	6	-69
4	205.345992244726	439.472411378999	296.408786172198	9	-66
5	205.908769322673	427.937433006544	295.406265776579	12	-63
6	205.343135366389	434.959374102229	297.961667220594	15	-60
7	208.428050014633	462.401886634679	298.43461883814	18	-57
8	208.611294890801	476.694032946836	297.110714958933	21	-54
9	209.606558312679	500.53456725614	296.699732377675	24	-51
10	208.688254990775	492.050694788905	296.863632501526	27	-48
11	209.343678332028	515.902331117296	297.82279087655	30	-45
12	209.836290878296	535.151613543275	297.3563012529	33	-42
13	209.935664646697	509.273554025733	298.820644131094	36	-39
14	209.929872943726	528.587690548379	298.808493376562	39	-36
15	209.90939591255	531.053210165927	299.543238117196	42	-33
16	209.645547947617	520.315186281233	297.555680245262	45	-30
17	209.481375236341	516.537848759624	299.497667108605	48	-27
18	210.719883019526	509.414539245974	299.70937290784	51	-24
19	210.75908039407	499.689320367167	300.419206097557	54	-21
20	211.417630624998	489.59250266513	305.171379481808	57	-18
21	213.282636887055	505.867001387161	302.003664073623	60	-15
22	213.457169273402	505.308088418013	296.783571977574	63	-12
23	213.437094882402	501.332180347364	297.047580340085	66	-9
24	214.788212372651	509.406657338498	296.560894796189	69	-6
25	214.674464533435	526.909205382727	295.762719937316	72	-3
26	215.032513579743	563.180280000412	301.216553431526	75	0
27	213.275587501697	580.268569609498	301.459332722524	78	3
28	204.62683580088	623.442418381378	299.513450303835	81	6
29	191.745278057292	681.085120225069	299.236168161664	84	9
30	201.546184109771	699.067045454545	295.890908105582	87	12
31	195.99591095298	649.606634478644	294.847548111071	90	15
32	203.512021760384	741.33619208762	299.195909083177	93	18
