"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	265.127333333333	163.116666666667	224.823333333333	0	-72
2	259.386666666667	165.183666666667	234.646	3	-69
3	284.507666666667	201.776333333333	221.264	6	-66
4	280.324	193.364666666667	224.780666666667	9	-63
5	267.234	184.028	245.3405	12	-60
6	274.25	193.708	235.8025	15	-57
7	281.817	199.858666666667	218.266	18	-54
8	294.1725	189.482	223.5365	21	-51
9	301.892333333333	205.269	210.465666666667	24	-48
10	301.973666666667	224.097666666667	204.537666666667	27	-45
11	306.438333333333	249.616	206.741333333333	30	-42
12	295.988	247.639333333333	196.373	33	-39
13	287.7605	236.197	214.144	36	-36
14	292.2515	223.9655	227.307	39	-33
15	299.068	220.406	208.8575	42	-30
16	291.4455	207.0855	221.1245	45	-27
17	288.675	221.124	211.7595	48	-24
18	289.6505	220.169	208.0335	51	-21
19	295.632	234.797	208.833	54	-18
20	296.137666666667	238.399	208.659666666667	57	-15
21	299.972	236.658	213.161333333333	60	-12
22	308.005	248.76075	207.10825	63	-9
23	306.0595	256.00575	206.147	66	-6
24	296.279333333333	250.321333333333	214.565666666667	69	-3
25	309.079	253.554	198.9665	72	0
26	292.745333333333	235.553666666667	197.539333333333	75	3
27	330.383333333333	221.317	194.896	78	6
28	464.519	265.818	216.9865	81	9
29	379.948	242.3965	219.7395	84	12
30	378.488	213.341	211	87	15
31	357.371	212.2085	209.212	90	18
32	405.087	260.21	220.723	93	21
33	396.871	254.689	216.799666666667	96	24
34	393.610333333333	267.543333333333	217.727666666667	99	27
35	384.122333333333	273.104	225.051666666667	102	30
36	427.023	299.672	233.7235	105	33
37	398.466666666667	333.82	221.101666666667	108	36
38	408.004	351.532666666667	228.154	111	39
39	394.892333333333	340.302	230.317666666667	114	42
40	402.782666666667	360.096666666667	227.217333333333	117	45
41	390.417666666667	348.255333333333	220.809	120	48
42	378.140333333333	352.1	231.264	123	51
