"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	164.797281492018	493.719108582266	542.268199778726	0	-18
2	160.588335280769	422.733188545689	527.971916700535	3	-15
3	163.408722358722	446.277770952771	508.835612885613	6	-12
4	166.297261904762	500.596369047619	512.374940476191	9	-9
5	162.050199237699	508.865774428274	511.757608570109	12	-6
6	163.131681681682	515.185848348348	506.572072072072	15	-3
7	164.165186165186	485.576734076734	511.901263151263	18	0
8	169.610236985237	489.05371017871	539.782148407148	21	3
9	204.760434541685	514.074903474904	559.485916273416	24	6
10	140.493963365911	532.94612970614	530.9965741013	27	9
11	142.553775107604	525.893597560976	534.643865290018	30	12
12	152.326988349113	474.477087354843	567.755569790422	33	15
13	150.370470692169	540.067704549386	498.24087837003	36	18
14	162.597696687371	533.121851276743	529.848602484472	39	21
15	166.537777777778	515.616906318083	523.070588235294	42	24
16	168.532603850051	512.039351570415	517.763323201621	45	27
17	170.924369747899	605.703081232493	527.348039215686	48	30
18	161.222222222222	522	474.944444444444	51	33
19	166.571428571429	639.69387755102	493.918367346939	54	36
20	167.745098039216	650.921568627451	490.627450980392	57	39
21	159.5	591.425	453.9	60	42
