"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	0.993661067869193	1.3149106942718	0.860826008537365	0	-90
2	1.00377659120847	1.24786707114715	0.824346773983917	3	-87
3	0.982065290035375	1.24474503513679	0.840301854424337	6	-84
4	1.01466858469144	1.37435643464221	0.725635940940414	9	-81
5	1.00134092088997	1.10047174430192	0.72826391579225	12	-78
6	1.00789816436651	1.09800507498244	0.689511510738836	15	-75
7	1.02058588353988	1.52344900456631	0.732006969156603	18	-72
8	1.01505980889415	1.3816304029125	0.755365434328448	21	-69
9	1.01692082297611	1.23468232238344	0.769599088956182	24	-66
10	0.996088593409944	1.15906582876069	0.820328780741616	27	-63
11	1.00265385450965	1.0715775743183	0.901502404816554	30	-60
12	0.994189927062475	0.966522114303112	0.90011536020965	33	-57
13	0.999320556356664	1.09467803176032	0.907737204834738	36	-54
14	1.00489479805865	1.14115841844694	0.927542093931607	39	-51
15	0.990763790133386	1.20136093768472	0.831387713916306	42	-48
16	0.992161519535587	1.17058685907162	0.879018808234821	45	-45
17	0.998782159408291	1.19120840922166	0.820381339377248	48	-42
18	1.00738072612474	1.17178216334128	0.818159266022835	51	-39
19	0.996282940304487	1.17458525998023	0.82070994403519	54	-36
20	1.0124769046475	1.13696392026204	0.78838335262116	57	-33
21	1.02156807815641	1.20668745816778	0.781253858496151	60	-30
22	1.0035229815362	1.13040296055908	0.810952629230764	63	-27
23	1.00918487771011	1.10285776184661	0.816135063126343	66	-24
24	1.01714488984206	1.13826279248144	0.86705182740444	69	-21
25	1.00549404686155	1.14968142981006	0.847905157190067	72	-18
26	1.02254431531573	1.28363079819611	0.815120715989174	75	-15
27	1.04238152710426	1.34049587598873	0.836017447747062	78	-12
28	1.01954148140407	1.29233861865249	0.856331605325991	81	-9
29	1.02011412902808	1.29620555170301	0.888565383343919	84	-6
30	1.03507521059169	1.26645624672695	0.854559501111954	87	-3
31	NA	NA	NA	90	0
32	1.07137391488654	1.68466124244549	0.736732940094845	93	3
33	1.19999672850151	1.60685617969469	0.675921296114808	96	6
34	0.287416002527552	1.26743084165946	0.673068579696362	99	9
35	0.310309361846291	0.925936265882305	0.644130638795014	102	12
36	0.505291925667079	1.00553912457702	0.764002847146451	105	15
37	0.607541272553028	0.98818286939665	0.71330151041575	108	18
38	0.758955738340931	1.14385394805925	0.747552556459753	111	21
39	0.838227316315249	1.27027838042952	0.745427807475092	114	24
40	0.896390679836729	0.960207522026078	0.797484076366809	117	27
41	0.895282825939569	1.1354253997561	0.743563918855432	120	30
42	0.941734035555346	1.15871539307576	0.762636285716919	123	33
43	0.963640674912039	1.16122398074766	0.780310427860798	126	36
