"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
2	203.27011589559	629.03635929458	344.177538003191	3	-96
3	199.904745660627	629.24859634836	340.295799200451	6	-93
4	203.59543321356	664.150818690496	341.421098000872	9	-90
5	205.273554742647	701.590339615285	341.419516932068	12	-87
6	204.999611529699	719.743192739964	340.795667504055	15	-84
7	204.376138206742	706.606492412214	343.583946068549	18	-81
8	204.871557186576	719.339658613323	339.23485249492	21	-78
9	205.04639682578	737.098495486485	340.240973669327	24	-75
10	204.249036559427	723.890790048268	339.503591187651	27	-72
11	207.137019409504	738.979017074507	340.685459875331	30	-69
12	206.763587979257	770.215610918703	341.204265865122	33	-66
13	205.933564054528	760.337329122918	337.081746932302	36	-63
14	208.778968288809	773.885461699163	339.848439036679	39	-60
15	208.151253563582	774.574359006372	340.572613948429	42	-57
16	209.215707841117	761.99174341299	341.858216280275	45	-54
17	208.577049874493	769.908484508893	340.668176327155	48	-51
18	208.790976660578	784.073778291051	336.132098108425	51	-48
19	209.192645270389	794.049611688135	337.459903658986	54	-45
20	211.005162539501	787.480575336376	337.145688181235	57	-42
21	209.752335478297	793.78815642135	336.451052298618	60	-39
22	208.902188892336	796.616033930192	337.880753477838	63	-36
23	208.358805984724	794.253764440623	340.650229447852	66	-33
24	209.634844420657	784.87058783434	337.555882049684	69	-30
25	209.564816410035	790.126394056051	337.964009884631	72	-27
26	208.589351501331	779.977416257513	336.479015453133	75	-24
27	209.091663507729	782.189892095958	338.248497238721	78	-21
28	210.369518759799	791.755030084863	338.136263857007	81	-18
29	211.026348852675	808.695555233221	338.543533075307	84	-15
30	212.709180703865	824.340912031265	337.739321500148	87	-12
31	213.479860011102	847.337893446562	338.672175240575	90	-9
32	212.559664779991	845.825080043429	337.260830747803	93	-6
33	213.86199299727	853.818258749742	338.894691645097	96	-3
34	215.339537909779	860.547920301419	341.834474587223	99	0
35	214.708337265069	807.138851059592	343.449369140502	102	3
36	219.473399622196	770.555580212883	346.790026773725	105	6
37	190.902287961141	787.664446007167	351.328876847782	108	9
38	192.532859277633	804.568027075042	340.15173258008	111	12
39	211.316677812593	863.193923824413	338.601334445776	114	15
40	212.568381020441	791.847795757362	337.785624426499	117	18
41	212.878456956607	770.366442498067	335.513936279042	120	21
42	223.908697717735	970.58823281624	337.400580227888	123	24
