"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
2	192.085333333333	483.356	742.289166666667	3	-96
3	190.032428571429	490.947714285714	721.745428571429	6	-93
4	194.012428571429	511.399428571429	758.407714285714	9	-90
5	195.163142857143	514.845857142857	795.746714285714	12	-87
6	195.098571428571	535.928714285714	783.997857142857	15	-84
7	194.570428571429	521.448142857143	764.633571428571	18	-81
8	194.964714285714	548.35	727.861714285714	21	-78
9	195.472833333333	539.411666666667	715.935333333333	24	-75
10	194.242571428571	553.788571428571	734.522428571429	27	-72
11	194.385714285714	545.126714285714	849.840857142857	30	-69
12	194.478571428571	556.768857142857	849.227142857143	33	-66
13	195.024285714286	579.777857142857	804.207142857143	36	-63
14	194.185142857143	545.926285714286	921.011857142857	39	-60
15	194.868857142857	543.510571428571	926.734714285714	42	-57
16	194.789142857143	530.390714285714	970.661285714286	45	-54
17	194.223857142857	532.038	981.192571428571	48	-51
18	194.362714285714	549.361142857143	975.372285714286	51	-48
19	195.894571428571	561.759428571429	927.821857142857	54	-45
20	195.125714285714	560.937142857143	944.641285714286	57	-42
21	196.406714285714	566.307571428571	930.931142857143	60	-39
22	197.202857142857	581.686714285714	882.079428571429	63	-36
23	197.423857142857	601.990142857143	878.192857142857	66	-33
24	198.047857142857	600.094428571429	872.995285714286	69	-30
25	198.943142857143	606.436571428571	829.645857142857	72	-27
26	198.892285714286	606.221714285714	851.422142857143	75	-24
27	198.699714285714	604.05	853.133714285714	78	-21
28	197.997428571429	583.302857142857	899.708857142857	81	-18
29	198.579428571429	578.398714285714	892.307285714286	84	-15
30	199.433142857143	592.372857142857	882.805142857143	87	-12
31	200.414142857143	614.195857142857	883.494714285714	90	-9
32	200.223285714286	617.082285714286	886.119428571429	93	-6
33	199.8	595.894375	886.2735	96	-3
34	202.430285714286	576.595	841.607428571428	99	0
35	205.038714285714	524.215142857143	837.768285714286	102	3
36	215.058428571429	558.294285714286	1027.79942857143	105	6
37	511.037857142857	702.008142857143	990.26	108	9
38	337.045909090909	721.524454545455	784.141272727273	111	12
39	297.069857142857	740.972571428571	797.200857142857	114	15
40	273.138285714286	668.009714285714	782.330142857143	117	18
41	255.953285714286	640.745428571429	723.861428571429	120	21
42	260.54875	749.85675	747.3855	123	24
