"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	222.1718	169.2376	715.6672	0	-87
2	215.420285714286	180.930428571429	736.064428571429	3	-84
3	220.539	180.829	694.225166666667	6	-81
4	217.688142857143	184.371428571429	708.284142857143	9	-78
5	218.149375	188.376875	707.15825	12	-75
6	217.667714285714	183.066142857143	726.411857142857	15	-72
7	219.113571428571	189.465714285714	752.226428571429	18	-69
8	220.500714285714	197.957857142857	747.384142857143	21	-66
9	221.657857142857	202.090428571429	756.548	24	-63
10	225.2715	205.081666666667	784.562	27	-60
11	222.736857142857	209.868428571429	792.278571428571	30	-57
12	224.468285714286	207.855285714286	857.735857142857	33	-54
13	225.435285714286	217.774571428571	861.330857142857	36	-51
14	226.208166666667	218.263333333333	841.39	39	-48
15	228.11	230.639857142857	839.976428571429	42	-45
16	227.996428571429	225.401	869.148428571429	45	-42
17	223.501142857143	238.980857142857	797.863142857143	48	-39
18	232.223857142857	248.527428571429	851.770571428571	51	-36
19	229.416666666667	223.979666666667	886.263166666667	54	-33
20	232.333166666667	245.748833333333	823.741833333333	57	-30
21	228.0894	220.687	805.5534	60	-27
22	229.4324	228.1154	806.2896	63	-24
23	218.8558	212.4858	783.3578	66	-21
24	231.7895	245.141666666667	849.875333333333	69	-18
25	221.881	211.6528	811.3904	72	-15
26	232.810666666667	246.986	872.571666666667	75	-12
27	232.256666666667	253.384	817.480333333333	78	-9
28	232.794833333333	250.821666666667	821.575	81	-6
29	232.5365	247.578333333333	916.110333333333	84	-3
30	232.725333333333	232.802833333333	829.669833333333	87	0
31	232.754428571429	260.784571428571	901.652714285714	90	3
32	379.449857142857	289.455714285714	1065.58971428571	93	6
33	818.821428571429	340.801142857143	1158.68857142857	96	9
34	578.238857142857	318.721285714286	1009.51714285714	99	12
35	462.737571428571	306.736285714286	951.146571428571	102	15
36	387.107714285714	296.047571428571	892.580428571429	105	18
37	341.391142857143	297.009	838.080857142857	108	21
38	302.197714285714	277.044571428571	753.180857142857	111	24
39	276.328285714286	270.324714285714	692.683428571429	114	27
40	279.530428571429	285.031571428571	724.018571428571	117	30
41	270.342428571429	281.019428571429	722.426142857143	120	33
