"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	192.090909090909	782.360606060606	269.618181818182	0	-60
2	198.206208425721	786.482261640798	283.703436807095	3	-57
3	205.426734693878	921.57306122449	286.741836734694	6	-54
4	205.208333333333	841.1875	295.458333333333	9	-51
5	202.126078431373	740.558039215686	280.638039215686	12	-48
6	202.721647869674	692.422566833751	271.148182957393	15	-45
7	200.915618448637	729.188679245283	286.616701607268	18	-42
8	191.988562091503	620.257040998217	282.020707070707	21	-39
9	187.09105734767	590.368243727598	274.784856630824	24	-36
10	191.394722417978	616.182614256258	285.40302247279	27	-33
11	177.67355590885	582.721780604134	292.896926338103	30	-30
12	205.600326560232	686.88388969521	321.027394775036	33	-27
13	208.309262166405	691.834314495029	311.024201988488	36	-24
14	204.070112893642	663.572567301979	296.2919946067	39	-21
15	196.201388888889	582.050925925926	314.94068287037	42	-18
16	193.086707962318	696.222635178733	320.103439153439	45	-15
17	195.728813559322	793.423728813559	288.983050847458	48	-12
18	204.973489694385	888.622080075811	300.963705283108	51	-9
19	212.34692635423	881.341296409008	296.427723676202	54	-6
20	207.930555555556	893.847222222222	278.522222222222	57	-3
21	212.909084084084	989.673326898327	306.818993993994	60	0
22	221.556711915535	1077.53423831071	279.860633484163	63	3
23	176.536324786325	1085.61965811966	282.72613960114	66	6
24	164.52380952381	1011.71587301587	276.838095238095	69	9
25	190.474206349206	996.560391865079	278.709449404762	72	12
26	207.859375	947.10408266129	283.155745967742	75	15
27	238.985074626866	1014.65671641791	344.179104477612	78	18
28	NA	NA	NA	81	21
29	NA	NA	NA	84	24
30	NA	NA	NA	87	27
