"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	1.1098593781687	1.29514709130125	0.738340162076384	0	-78
2	1.0609606059875	0.943778157755523	0.742999313000709	3	-75
3	1.05057551962161	1.00081947108963	0.6428761525931	6	-72
4	1.05893947634375	0.949894743810561	0.632818775701283	9	-69
5	0.992092698845568	0.774637294380407	0.610352142609927	12	-66
6	0.998651511244474	0.722120966434247	0.655155387644213	15	-63
7	0.988748648238474	0.634930961600274	0.70554751482632	18	-60
8	0.931568639656766	0.61504570185721	0.654504927621282	21	-57
9	0.95022007973347	0.525868682391903	0.657320684477576	24	-54
10	0.960325835177845	0.567433125121993	0.550097418110754	27	-51
11	0.987620110238	0.644379848597006	0.554775914767219	30	-48
12	0.98302428254325	0.69052139247177	0.594236149987205	33	-45
13	0.997588844047162	0.718475095984313	0.57319438613234	36	-42
14	1.0250577440864	0.7937880786832	0.540565415165062	39	-39
15	1.04059860439337	0.935300180217528	0.562541638488986	42	-36
16	1.02409255069047	0.944843565341792	0.543601995000382	45	-33
17	1.01338091895559	0.828580192894333	0.614598567700151	48	-30
18	1.00936121937952	0.745740940784684	0.608718888267192	51	-27
19	1.05661084190141	0.955965760775377	0.556917976663814	54	-24
20	1.03249234603984	0.844305374392304	0.601229265244366	57	-21
21	1.01362430954731	0.849348120045218	0.603080427363002	60	-18
22	1.04424307036247	0.957358947938788	0.600026357438774	63	-15
23	1.04374673787752	1.1558855171497	0.536047133972878	66	-12
24	1.06201103023671	1.09891330973887	0.554614998819573	69	-9
25	1.03742309192823	1.1763261611405	0.598426887423346	72	-6
26	1.07674750915256	1.39707267964245	0.55375108317819	75	-3
27	1.06592780957396	1.28880274642445	0.539511067673544	78	0
28	1.03011673419727	1.43605015728432	0.593096164065797	81	3
29	1.47155613464265	1.37650343066042	0.46798797677618	84	6
30	0.464252848420926	1.0925911351623	0.505891084994372	87	9
31	0.676614229546852	1.0691826255592	0.530452353061615	90	12
32	0.973229554191099	1.36836828512883	0.563434636264956	93	15
33	1.2364039570685	1.74315011430625	0.713039696137519	96	18
34	1.28442770305008	1.97809684464471	0.720912469861358	99	21
35	1.28048760664037	1.64135680397088	0.662226604166414	102	24
36	1.28082361616488	1.60498339040331	0.676761826719416	105	27
37	1.26822409293093	1.51119854474551	0.688988572889942	108	30
38	1.2624890980759	1.40629369021002	0.727327829475384	111	33
39	1.29299683827584	1.72904292527562	0.782434199490675	114	36
