"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	222.146947738252	456.337285902503	248.134606938955	0	-36
2	217.376512096774	482.995967741935	253.245967741935	3	-33
3	219.525818572195	443.193880837359	253.160601180891	6	-30
4	222.804166666667	492.346428571429	246.571428571429	9	-27
5	218.143493761141	472.041889483066	254.474598930481	12	-24
6	215.402777777778	461.555555555556	261.111111111111	15	-21
7	217.835745614035	473.466353383459	251.537045739348	18	-18
8	217.085753176044	473.800799892451	246.316159171876	21	-15
9	215.892430921775	476.296922303401	244.784202266291	24	-12
10	215.811372776285	466.331436699858	251.294566496321	27	-9
11	216.301587301587	447.85582010582	250.87962962963	30	-6
12	217.626494427558	464.222255994596	249.216860857818	33	-3
13	214.688630490956	459.979913974353	250.714751151556	36	0
14	210.587719298246	370.350877192982	253.982456140351	39	3
15	289.526140155729	559.418798665184	252.723581757508	42	6
16	166.75875	469.698189655172	263.923405172414	45	9
17	207.326860670194	544.611340388007	254.99164021164	48	12
18	222.89039408867	605.393902074937	258.181631586804	51	15
19	221.202879742924	567.366332962551	250.248964899271	54	18
20	223.524867724868	675.717989417989	253.206084656085	57	21
21	217.347281746032	644.905357142857	245.432083333333	60	24
22	229.035286195286	696.619831649832	250.869124579125	63	27
23	231.360597439545	659.575035561878	249.380512091038	66	30
24	223.337198067633	681.110950080515	245.781320450886	69	33
25	225.595533043625	810.64324077732	256.998057640574	72	36
26	216.573654407073	732.049266247379	246.7614962173	75	39
