"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
32	1.06200589203833	1.27715054027746	0.561360632496112	93	-42
33	1.06254425005872	1.31108713925039	0.54594576697679	96	-39
34	1.05311342609315	1.23336160057384	0.605787149256432	99	-36
35	1.05035360467424	1.22068949338639	0.61891395487711	102	-33
36	1.05589711911858	1.36829492522677	0.634662036269632	105	-30
37	1.05124417926245	1.18090005993177	0.611002597322501	108	-27
38	1.0388348136666	1.189647434379	0.660410881614809	111	-24
39	1.04490511363061	1.2502130772257	0.667051758142765	114	-21
40	1.04677145741737	1.25687743900196	0.615509845693612	117	-18
41	1.03966415068042	1.25629887034632	0.550599504003319	120	-15
42	1.03034046022596	1.25201421385723	0.584599144155589	123	-12
43	1.02837392404499	1.18609002143106	0.621346155707502	126	-9
44	1.03079509433629	1.23684036922577	0.644315618481379	129	-6
45	1.03617557166173	1.22792188284774	0.616758223360707	132	-3
46	1.01587658774695	1.13958813638251	0.671482722025285	135	0
47	1.08462296787563	1.35452559494298	0.612504830248381	138	3
48	1.4392024646644	1.19711110548889	0.733379102009707	141	6
49	0.468758804259826	1.27824289520974	0.60617721052163	144	9
50	0.625329012967046	1.18556424871237	0.576597541747153	147	12
51	0.798634137655109	1.10319691630711	0.582432994575672	150	15
