"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	213.935	607.02825	376.956	0	-60
2	214.32425	636.38025	353.11075	3	-57
3	216.065333333333	603.347333333333	359.348333333333	6	-54
4	212.70775	677.857	375.39725	9	-51
5	211.953666666667	561.636666666667	351.201666666667	12	-48
6	212.56675	619.847	353.44875	15	-45
7	210.0115	556.10025	356.65275	18	-42
8	213.0635	646.179	376.9865	21	-39
9	209.7	601.013	354.6615	24	-36
10	208.3315	527.7855	372.3465	27	-33
11	220.6045	688.1435	327.691	30	-30
12	222.358666666667	768.233666666667	345.428	33	-27
13	220.2	732.6855	335.5325	36	-24
14	217.784333333333	744.232666666667	350.653333333333	39	-21
15	215.559333333333	728.131	377.593666666667	42	-18
16	215.917666666667	654.368333333333	371.614333333333	45	-15
17	221.818333333333	740.711666666667	373.258666666667	48	-12
18	220.997333333333	741.782	364.329666666667	51	-9
19	222.448333333333	676.516666666667	357.439	54	-6
20	221.572666666667	636.311	353.098	57	-3
21	219.93775	584.9225	348.75825	60	0
22	229.487	580.617333333333	355.851	63	3
23	397.123	769.4355	352.3285	66	6
24	241.613	883.9595	388.2205	69	9
25	290.7965	991.1225	410.318	72	12
26	284.2575	951.25	388.4415	75	15
27	284.7935	1037.888	501.509	78	18
28	273.0265	874.0975	431.1995	81	21
29	271.6715	916.058	453.073	84	24
30	280.568	942.132	497.6145	87	27
31	277.5365	932.5345	493.5345	90	30
32	268.7195	842.909	419.264	93	33
33	266.799	821.1735	421.504	96	36
34	273.1215	882.608	409.296	99	39
35	269.007	869.054	398.897	102	42
