"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	228.649110649111	273.527264106211	306.333795333795	0	-93
2	227.339052287582	292.078808446456	296.350710155857	3	-90
3	226.889991728701	298.080507306314	317.469534050179	6	-87
4	226.344438821412	292.070147323437	314.680330634278	9	-84
5	222.824324324324	257.405405405405	305.689189189189	12	-81
6	224.62865497076	252.23440545809	305.32992202729	15	-78
7	229.012426900585	274.200292397661	303.808479532164	18	-75
8	230.667917917918	315.250875875876	308.974161661662	21	-72
9	229.984141284141	296.588967538968	305.457679107679	24	-69
10	230.705784732101	333.738975817923	304.71692745377	27	-66
11	228.108381108381	336.926835926836	290.829647829648	30	-63
12	230.048214285714	333.845535714286	300.091964285714	33	-60
13	232.574545133369	335.555236231707	315.250445015151	36	-57
14	231.204119318182	348.580397727273	302.105965909091	39	-54
15	232.300732600733	320.378512347867	301.817428807751	42	-51
16	228.088315035683	326.10804123962	295.574716416822	45	-48
17	231.676948051948	293.245707070707	307.0579004329	48	-45
18	227.554093822844	271.14983003108	290.59105963481	51	-42
19	224.374613481756	292.80426716141	302.663110698825	54	-39
20	226.664583333333	269.725	288.638541666667	57	-36
21	224.466459296152	313.786851527796	285.282009654358	60	-33
22	225.656475100378	306.587357374004	293.894619014802	63	-30
23	225.2003237073	289.214316949201	299.894505494505	66	-27
24	224.326453035807	328.147810252799	291.227146193194	69	-24
25	225.984375	312.972348484848	289.544034090909	72	-21
26	225.949137175195	321.444223827742	294.23514751429	75	-18
27	230.893848921682	356.817508141468	302.745726583316	78	-15
28	234.856662933931	283.41993281075	307.829227323628	81	-12
29	228.850452898551	282.947282608696	320.553713768116	84	-9
30	228.981136363636	301.369600886918	294.292078713969	87	-6
31	230.246581764866	321.79438761593	296.372635365521	90	-3
32	220.078125	301.390625	327.6875	93	0
33	229.781609195402	279.763290229885	300.114583333333	96	3
34	204.519009205284	319.503513317239	289.070128952482	99	6
35	197.975149790939	341.912586480021	284.19394963145	102	9
36	219.76742818782	337.714786745383	286.815752111982	105	12
37	206.616277056277	272.160346320346	286.644502164502	108	15
38	215.243700745781	342.530863654711	286.049771989005	111	18
39	230.87721520863	472.654057017544	284.646063003793	114	21
40	233.359640522876	551.023716153128	282.766281512605	117	24
41	236.759135472371	601.415775401069	286.528743315508	120	27
42	232.394542090657	612.067530064755	284.814523589269	123	30
43	234.433962264151	679.471698113208	288.150943396226	126	33
44	230.269230769231	664.153846153846	278.461538461538	129	36
45	231.480769230769	714.384615384615	283.692307692308	132	39
46	235.58	732	288.34	135	42
47	237.666666666667	785.921568627451	294.235294117647	138	45
48	225.267857142857	751.214285714286	279.357142857143	141	48
49	224.636363636364	744.145454545455	280.072727272727	144	51
50	211.658741258741	641.407226107226	282.110722610723	147	54
51	214.992929292929	611.515151515152	284.919191919192	150	57
