"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	1.0262184447718	1.75533609398774	1.01420338996084	0	-75
2	1.02539647422374	1.73875725981793	1.00629556679613	3	-72
3	1.04127155848744	1.75915132566882	1.02329420517517	6	-69
4	1.06189725036338	1.73862037750756	0.996814276727521	9	-66
5	1.0533859847191	1.70121997174438	0.999312023352548	12	-63
6	1.06745907399902	1.7186007960301	0.999719022635109	15	-60
7	1.04704023310928	1.63977531963352	1.0061375458821	18	-57
8	1.04286302494736	1.5274801500072	1.00544378034098	21	-54
9	1.04124441487031	1.36431585263222	1.02158270888059	24	-51
10	1.05351428858985	1.42495739539912	1.0361921786092	27	-48
11	1.05066663542257	1.401288434184	1.0325559763545	30	-45
12	1.0454272226371	1.34887336817683	1.01858018388302	33	-42
13	1.03060585049044	1.25793254082461	1.01826389070601	36	-39
14	1.02477408486736	1.03532450630887	1.06659244766015	39	-36
15	1.01926276841372	0.958951339451722	1.04998283186161	42	-33
16	1.0228598584257	1.0450848183446	1.06051234377838	45	-30
17	1.00848377036292	1.00447682174192	1.07176405642535	48	-27
18	1.00589651786947	1.01856319722153	1.03406863130447	51	-24
19	0.985116281131673	0.869922997401419	1.15403572485333	54	-21
20	0.998050895432779	0.884879070598184	1.14506306844318	57	-18
21	0.958248311882465	0.603413800265492	1.32902400963335	60	-15
22	0.945766299169606	0.690963120785258	1.23422770681648	63	-12
23	0.966230862120513	0.679043242890017	1.39945566146963	66	-9
24	0.940541564863981	0.693572295802984	1.59111358660353	69	-6
25	0.936047307639414	0.570117198430421	1.98580562435912	72	-3
26	0.977775489048496	0.582044127410937	1.03406957450047	75	0
27	1.00948425032065	0.704724420094177	1.0134576597185	78	3
28	1.2496048419884	0.920598549133905	0.992022571051949	81	6
29	1.02917192767593	0.986981333015159	1.0482488090267	84	9
30	0.992826303512412	0.896323337463026	1.0914630871948	87	12
31	1.01652780993703	1.00947969290469	1.06927974074641	90	15
32	NA	NA	NA	93	18
