"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-15
2	NA	NA	NA	3	-12
3	NA	NA	NA	6	-9
4	NA	NA	NA	9	-6
5	NA	NA	NA	12	-3
6	NA	NA	NA	15	0
7	NA	NA	NA	18	3
8	657.975590437788	584.959173387097	444.057423675115	21	6
9	767.290398550725	633.425853202431	449.624812996727	24	9
10	715.482738095238	660.40197368421	425.665601503759	27	12
11	661.4875	549.912195121951	435.390548780488	30	15
12	571.867897723174	473.253341950897	433.299670493596	33	18
13	531.640569739169	461.36995744916	421.864638594164	36	21
14	582.936965811966	537.856256284565	420.941946329814	39	24
15	622.608641936299	687.034139598079	414.097687057634	42	27
16	679.909019789734	789.153052978767	412.04246701711	45	30
17	681.291203208556	815.721336898396	414.197575757576	48	33
18	709.911952861953	879.723242035742	413.31723970474	51	36
19	726.541713297177	948.716877989989	411.520009100636	54	39
20	738.088122605364	999.053229337712	418.957717569787	57	42
21	718.817858020142	976.71063620732	410.396708425448	60	45
22	650.007820512821	892.533461538462	406.949743589744	63	48
23	597.232321652065	831.566958698373	396.808667083855	66	51
24	598.037492410443	792.47047215972	420.108316368442	69	54
25	594.027285388466	823.907700247807	420.913582355196	72	57
26	541.333714721587	698.866132723112	411.94241037376	75	60
