"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-15
2	NA	NA	NA	3	-12
3	NA	NA	NA	6	-9
4	NA	NA	NA	9	-6
5	NA	NA	NA	12	-3
6	NA	NA	NA	15	0
7	NA	NA	NA	18	3
8	627.57525	554.95225	666.66575	21	6
9	806.72125	620.04125	720.4975	24	9
10	705.476	621.669666666667	542.307666666667	27	12
11	622.326	538.0235	571.385	30	15
12	566.615	459.281	564.166	33	18
13	524.64325	426.1265	544.54925	36	21
14	553.605	477.979666666667	565.262	39	24
15	601.847	631.6535	511.42075	42	27
16	664.17275	741.44875	573.25725	45	30
17	671.697	774.1645	605.217	48	33
18	677.82825	786.524	587.78575	51	36
19	697.857333333333	818.736666666667	615.823	54	39
20	719.375	857.316	652.7715	57	42
21	722.9525	864.098	649.491	60	45
22	646.076	769.7845	588.1285	63	48
23	589.458	697.518	590.491	66	51
24	583.564333333333	686.608333333333	618.792	69	54
25	615.035	764.877333333333	627.029	72	57
26	553.2875	623.5505	615.595	75	60
