"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	NA	NA	NA	0	-15
2	NA	NA	NA	3	-12
3	NA	NA	NA	6	-9
4	NA	NA	NA	9	-6
5	NA	NA	NA	12	-3
6	NA	NA	NA	15	0
7	NA	NA	NA	18	3
8	0.912443857755879	0.866486730966409	1.02726570012841	21	6
9	0.938037290125716	0.877853480408481	1.04614172310018	24	9
10	0.853349566034939	0.875169304285741	1.00946034135778	27	12
11	0.818899211675523	0.725751595290691	1.04304072605844	30	15
12	0.725167578934144	0.628976439503215	1.04773077581192	33	18
13	0.698231972401349	0.607233513526241	1.01840752405556	36	21
14	0.772492081366851	0.687044857674212	1.02094202544677	39	24
15	0.857750983795439	0.871938490644331	1.02164853862099	42	27
16	0.975049091945267	1.00426222104734	1.01776473122513	45	30
17	0.958953199320977	0.969036480398828	1.03015677496203	48	33
18	1.09975406627417	1.1377588887709	1.03918168938429	51	36
19	1.13473391830991	1.29818700518823	1.02973356078051	54	39
20	1.05197236265966	1.17508914789695	1.05442156907443	57	42
21	1.10478027316237	1.2288906379436	1.02475367902683	60	45
22	1.00229959936112	1.19853853533775	0.999803496283369	63	48
23	0.97705140936767	1.11081922449055	0.983334835612857	66	51
24	1.11988906297191	1.19183740264929	1.04854065825903	69	54
25	1.08305626897861	1.15366942157852	1.04446618384524	72	57
26	0.98418208820204	0.956056111220794	1.02689139516041	75	60
