"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
32	338.013142857143	1017.67114285714	1060.11985714286	93	18
33	338.880142857143	1019.891	1129.51542857143	96	21
34	331.737428571429	1009.79328571429	1115.19057142857	99	24
35	331.610857142857	961.363714285714	1209.467	102	27
36	333.378571428571	986.697714285714	1226.813	105	30
37	330.717714285714	1055.406	1157.824	108	33
38	329.628142857143	1015.64985714286	1194.39228571429	111	36
39	330.940714285714	1024.93557142857	1194.40385714286	114	39
40	329.427857142857	1045.28514285714	1177.71714285714	117	42
41	317.779571428571	977.276571428571	1122.51128571429	120	45
42	321.761142857143	1009.48528571429	1131.94414285714	123	48
43	314.999571428571	1028.28542857143	1060.88571428571	126	51
44	309.334285714286	993.008571428571	1058.39814285714	129	54
45	306.426	961.819428571429	1062.87642857143	132	57
46	305.171142857143	992.379428571429	1022.75242857143	135	60
