"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	391.446428571429	352.924571428571	1031.92385714286	0	-105
2	392.951571428571	358.013428571429	969.862714285714	3	-102
3	388.745	358.885857142857	958.898428571429	6	-99
4	401.179857142857	377.677571428571	910.681	9	-96
5	384.533	345.454	892.47	12	-93
6	415.714833333333	385.2455	831.561333333333	15	-90
7	412.384166666667	381.6875	864.978333333333	18	-87
8	418.0155	393.3555	880.53	21	-84
9	384.954	359.307333333333	957.328333333333	24	-81
10	387.965	373.178714285714	977.342857142857	27	-78
11	387.808142857143	381.217142857143	1004.72085714286	30	-75
12	372.222428571429	365.828428571429	1057.65442857143	33	-72
13	374.445	373.822428571429	1033.667	36	-69
14	390.238571428571	401.289285714286	944.667	39	-66
15	409.297714285714	424.554142857143	900.145285714286	42	-63
16	363.431	363	943.456	45	-60
17	400.811285714286	427.337571428571	989.687714285714	48	-57
18	402.702285714286	433.877	1000.15557142857	51	-54
19	398.428285714286	431.923	1027.00771428571	54	-51
20	415.069714285714	465.083857142857	972.685857142857	57	-48
21	401.691428571429	451.023571428571	1073.41628571429	60	-45
22	404.160714285714	463.745428571429	1063.74757142857	63	-42
23	380.356285714286	436.604428571429	1163.54785714286	66	-39
24	376.755142857143	445.643571428571	1219.11885714286	69	-36
25	377.316428571429	446.548428571429	1180.11457142857	72	-33
26	367.320714285714	437.531857142857	1301.54057142857	75	-30
27	379.610142857143	450.000142857143	1236.23842857143	78	-27
28	371.532714285714	439.401714285714	1245.504	81	-24
29	373.427285714286	447.150285714286	1190.19428571429	84	-21
30	385.915285714286	461.742428571429	1100.33171428571	87	-18
31	378.591714285714	457.78	1144.20957142857	90	-15
32	377.440142857143	456.987142857143	1222.19157142857	93	-12
33	369.758571428571	449.454571428571	1238.25657142857	96	-9
34	362.533714285714	446.523428571429	1216.64057142857	99	-6
35	361.385	447.252857142857	1170.21	102	-3
36	410.156714285714	524.626571428571	1067.77642857143	105	0
37	425.452285714286	550.722571428571	1284.69785714286	108	3
38	649.674	658.959285714286	1347.05357142857	111	6
39	683.394714285714	667.166428571429	1238.23914285714	114	9
40	638.398142857143	649.058	1117.97357142857	117	12
41	581.394714285714	644.404	977.008428571429	120	15
