"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	501.865222658992	462.725558792815	430.831549516721	0	-105
2	500.952002941785	466.059996964584	426.068073743965	3	-102
3	506.576296153273	477.322774480372	426.074707512617	6	-99
4	509.802531154828	486.074250154396	422.282745985633	9	-96
5	496.994064031765	460.649940772709	418.627638277309	12	-93
6	512.149544733112	480.37037491451	413.319456651999	15	-90
7	502.083163025453	475.837127455744	414.391960076606	18	-87
8	509.992951188606	487.990766515847	418.050953899652	21	-84
9	493.82091267939	476.511185029454	421.623302107507	24	-81
10	486.620434662103	485.616146032642	419.884708353483	27	-78
11	494.518226546102	499.715783248562	420.087635263078	30	-75
12	486.417712163031	490.113087690001	420.09415575697	33	-72
13	482.096659582145	489.647838180176	423.863221432798	36	-69
14	490.532386026726	512.589179682451	418.640811619686	39	-66
15	498.587951701897	523.495401547905	417.959391969472	42	-63
16	492.182692307692	518.149038461538	417.389423076923	45	-60
17	488.921104546795	526.977361116497	418.017232209331	48	-57
18	497.345952409055	538.894982270143	415.802077937273	51	-54
19	492.088379024808	540.584032714449	416.301838365609	54	-51
20	502.676800073762	564.671681270369	418.503649172355	57	-48
21	492.273555270557	557.290531133907	419.487213790402	60	-45
22	481.173793102629	555.991449954634	423.056472875679	63	-42
23	467.83974497974	548.583930828641	421.649501957614	66	-39
24	461.003842783806	550.384922569944	426.588734947465	69	-36
25	470.170954884129	557.487274989696	424.516593819789	72	-33
26	459.986377968518	551.679222648437	427.424813697595	75	-30
27	470.143451400431	562.206145986165	423.449221200613	78	-27
28	470.990726717832	565.165245703594	423.871130011224	81	-24
29	472.430106242521	572.740333989114	419.88992625463	84	-21
30	477.206399508417	577.247608995657	419.095582267278	87	-18
31	472.293497051091	581.178641368869	424.876571660344	90	-15
32	467.667002596722	571.943334759537	428.929085111421	93	-12
33	448.180529686309	554.51468876199	428.709715194999	96	-9
34	455.221251604413	570.86110589537	426.155645466711	99	-6
35	454.440476486056	579.644766129408	426.602952055436	102	-3
36	473.739943268172	614.652483054542	428.895264419869	105	0
37	476.65698186023	631.654332494079	431.320209337725	108	3
38	508.334377193704	674.587491799733	426.628043692532	111	6
39	513.232070907704	694.50477955679	423.125868713803	114	9
40	498.077556147626	666.662330465037	424.676444994055	117	12
41	488.068527625134	669.891465649626	424.465831548786	120	15
