"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	251.681535979038	710.338261348043	423.747790717575	0	-93
2	246.471089569236	697.014837003998	421.429394435309	3	-90
3	246.102075207599	702.107993853847	415.925177899632	6	-87
4	247.941830919859	736.120901971602	414.44616744173	9	-84
5	244.19040616972	724.670869851446	415.922072556749	12	-81
6	252.678228339261	790.254716381719	410.121976588598	15	-78
7	250.67914912809	787.958058386822	404.641414532323	18	-75
8	250.853589568486	798.703100343555	403.870582578599	21	-72
9	251.278414816105	816.299729326195	405.41600551209	24	-69
10	254.399976561508	836.681214624352	409.305524942095	27	-66
11	250.787958321623	841.137543435026	413.431242759499	30	-63
12	246.572101576074	825.902731603197	421.987945968957	33	-60
13	249.895490519718	847.219503318616	419.21712104739	36	-57
14	246.493367785612	825.837310665664	419.357734751731	39	-54
15	249.556745330306	852.685466123815	415.305505094584	42	-51
16	249.12276177828	876.188051474183	416.613874255934	45	-48
17	253.446252723278	906.091476000829	410.218672503877	48	-45
18	256.5264576762	942.67796606379	405.363248564238	51	-42
19	256.501553169507	952.192507406243	409.126527065976	54	-39
20	253.985199326308	942.577669522234	407.607156821093	57	-36
21	257.231092705644	985.40399750389	410.422485338576	60	-33
22	252.219868940175	964.389423537436	410.701811014667	63	-30
23	258.88622312989	1014.79979686773	405.955067566865	66	-27
24	261.055192776427	1032.54134719542	407.966471660102	69	-24
25	256.436854167521	1006.43257229488	410.748126372139	72	-21
26	256.690855287813	1016.20091253266	409.305427762898	75	-18
27	255.495689732622	1021.26454567997	407.450766447145	78	-15
28	260.237020781367	1069.1095845414	408.419960451604	81	-12
29	259.926590865409	1086.1724389092	412.151344301919	84	-9
30	261.302347695632	1087.3280179544	410.287987125342	87	-6
31	260.735674794763	1095.05355591145	411.814415900307	90	-3
32	252.160892064763	1025.36598848386	410.08029854179	93	0
33	265.807546727456	1069.46760438578	422.380754592779	96	3
34	264.430167470998	1121.84431213707	417.668534904327	99	6
35	288.314655648052	1240.58618057827	425.105335077603	102	9
36	287.653789610281	1274.23755107522	418.997772499057	105	12
37	281.804676840491	1272.52361819884	415.938775069559	108	15
38	273.507048019767	1261.633814401	413.23980676474	111	18
39	270.500171442493	1272.67963300629	412.65881431258	114	21
