"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	201.351499502025	690.77157612245	604.781814485701	0	-93
2	205.80421893284	733.456047216176	600.161427423784	3	-90
3	207.047279962635	769.3966359482	604.493205816055	6	-87
4	201.060576060076	738.22738102492	613.046439554292	9	-84
5	208.484828974817	806.559555923085	598.535790261258	12	-81
6	209.278581751893	828.627649921189	598.61860761585	15	-78
7	205.90332154835	824.671802774041	600.990145986563	18	-75
8	212.220539177429	872.880849870193	593.577829352898	21	-72
9	214.899739189005	930.840421387795	596.731049037319	24	-69
10	214.697700049349	936.250325999769	591.312381166783	27	-66
11	213.181410682697	919.187331852191	601.196962680918	30	-63
12	213.916852394132	943.728092604216	609.30549640954	33	-60
13	215.639860934602	980.160720666828	609.44660750489	36	-57
14	214.676996761735	991.612786660326	599.900632067154	39	-54
15	212.561561906672	985.093654652397	595.312156851444	42	-51
16	211.416650329768	987.904910183409	607.750748704139	45	-48
17	209.895902007049	983.488192242263	608.441007036642	48	-45
18	205.104333052826	967.158033404244	612.640280878983	51	-42
19	205.212176298481	972.976991688923	615.53675831403	54	-39
20	208.670011768065	1037.96855880913	616.604919965125	57	-36
21	204.484072307968	996.947157511062	614.81992593383	60	-33
22	206.013691143705	1024.48857286559	651.926091835252	63	-30
23	203.207383582437	1004.80115493744	656.427496139886	66	-27
24	206.372004406396	1062.64937073159	620.819690191307	69	-24
25	207.691629214087	1089.84370574499	630.387153406345	72	-21
26	205.436825105854	1077.50392253984	640.938584163454	75	-18
27	205.542761376662	1084.08860668597	652.395881535407	78	-15
28	204.919960113901	1088.59080073503	669.332099167654	81	-12
29	199.703189683991	1034.32637800938	641.380078986927	84	-9
30	196.603711045496	1020.40221541764	621.524019081283	87	-6
31	199.116971137682	1018.5539893407	641.440900355748	90	-3
32	200.501535563632	1051.01154658121	667.550445803592	93	0
33	202.860333264029	1097.59973732148	716.030191757749	96	3
34	199.236035484758	1018.77837544271	668.662669981009	99	6
35	185.782625707583	867.31456063493	626.007027543835	102	9
36	183.482698322764	848.431009252274	621.849881159573	105	12
37	181.548984943121	796.559230341235	616.044623633934	108	15
38	174.361260566057	715.557981186037	612.26509993576	111	18
39	171.381578335211	722.555160360037	591.650994521797	114	21
40	173.326030018704	789.145550358586	593.285417896754	117	24
41	174.448372693942	840.766803306072	588.290517363813	120	27
42	172.44194694449	794.804117065723	579.265905763626	123	30
43	168.774051184754	707.724734243146	573.312520888882	126	33
44	167.364787736602	690.490765172949	572.355233351421	129	36
45	166.703686316038	691.052348431612	572.363378332656	132	39
46	167.642212849773	725.059553877603	574.56713628622	135	42
47	170.884451783307	816.999178752332	577.503929311938	138	45
48	171.406879130944	856.555819008243	576.404352407662	141	48
49	169.161787619324	818.40595038736	575.884253918178	144	51
