"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-105
2	454.415742144623	422.98468711199	647.678271612235	3	-102
3	442.463143116048	391.936603279488	644.688174542557	6	-99
4	458.936978924179	397.991162540436	641.808853667774	9	-96
5	455.605942412162	410.914644202052	643.112251604955	12	-93
6	479.126647272351	426.516683793922	644.172783998426	15	-90
7	486.534162959978	425.005050765458	657.746478351388	18	-87
8	484.455764626543	428.253096623051	657.861386594276	21	-84
9	469.555056928244	420.208032401113	646.341456594064	24	-81
10	479.029039616399	422.556818601528	649.588576407083	27	-78
11	475.727016325025	415.592414561952	665.427026635076	30	-75
12	479.648140516538	424.64255677352	663.004167299183	33	-72
13	476.939409946038	442.396210460061	645.034090610263	36	-69
14	473.536610730072	459.374181239026	627.090507897825	39	-66
15	462.103241936711	447.802744491884	637.137803043432	42	-63
16	479.863829950174	430.457571736064	631.546640402982	45	-60
17	486.936387665982	391.166147415069	635.156012051809	48	-57
18	493.603415781835	381.769956136251	633.317484349146	51	-54
19	514.223191971111	379.968320820632	633.624982298149	54	-51
20	499.568237735111	366.276182228625	628.758612445633	57	-48
21	500.382768448922	370.300161501027	623.475223297473	60	-45
22	503.06910044977	372.65274668447	624.446568345604	63	-42
23	500.788221515618	369.205397517237	613.949083754464	66	-39
24	507.220678871431	373.223203340154	605.900791989433	69	-36
25	489.818083931339	364.874547408296	611.770943192695	72	-33
26	494.758690970513	366.978472558254	605.944326207457	75	-30
27	493.261091768747	367.755142373769	602.51940840166	78	-27
28	490.22978473946	369.317028458397	602.048854628194	81	-24
29	493.635142528629	369.642165497683	600.624496765779	84	-21
30	490.231033494471	369.053829680861	598.792503238784	87	-18
31	487.963314008973	369.560353437455	602.378153075835	90	-15
32	490.755888677877	372.025994103082	591.678488855045	93	-12
33	481.597845590952	365.455232905778	600.421713897973	96	-9
34	478.975653981019	367.736899484972	631.877071977141	99	-6
35	459.395901275876	348.463359124582	609.994545671985	102	-3
36	447.495571290149	348.273734403321	638.973748518945	105	0
37	421.299981683484	335.571541652889	657.228513100592	108	3
38	420.845782667768	345.132979615536	670.408237109074	111	6
39	403.088238313127	324.553107982949	679.323428940874	114	9
40	385.078491522608	303.382339259705	693.567226708638	117	12
41	425.906444630074	331.938049092302	710.107602427551	120	15
42	374.087722419085	316.327601946956	672.508494698862	123	18
43	364.320000539854	326.97741941895	660.614822071971	126	21
44	365.660131556177	342.549639002669	655.170047839752	129	24
45	355.726597054903	346.377427600976	621.497193302774	132	27
46	358.457971680722	359.38266113529	608.855524567142	135	30
47	358.19605855568	366.817895956645	602.749272922392	138	33
48	375.284361676772	381.537518757289	614.323313471943	141	36
49	382.249022967739	395.963842939286	613.545814159049	144	39
50	392.624263456746	416.553896125941	616.393814011269	147	42
51	394.147821814982	421.278575291958	611.508137185905	150	45
52	389.217828829516	404.182367328696	612.243517244693	153	48
