"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	346.85125	348.7205	1437.873	0	-102
2	361.65025	366.787	1489.19325	3	-99
3	353.5275	361.67225	1648.5545	6	-96
4	357.46075	369.6315	1679.48125	9	-93
5	360.11125	378.32275	1652.20825	12	-90
6	368.204	392.15975	1639.0035	15	-87
7	368.19875	401.47325	1668.70475	18	-84
8	370.55325	404.72875	1692.793	21	-81
9	372.1115	413.26625	1690.576	24	-78
10	388.9595	443.50375	1645.5235	27	-75
11	395.66425	461.14925	1686.32925	30	-72
12	409.65325	482.51775	1646.20825	33	-69
13	397.318	470.00825	1596.812	36	-66
14	398.80875	479.8825	1599.8055	39	-63
15	401.6255	480.449	1481.18325	42	-60
16	396.82625	482.54525	1457.8995	45	-57
17	414.068333333333	482.355666666667	1602.64466666667	48	-54
18	393.314333333333	469.47	1656.747	51	-51
19	391.394666666667	464.471333333333	1722.27066666667	54	-48
20	383.302333333333	462.314333333333	1697.185	57	-45
21	365.438666666667	436.305666666667	1493.37033333333	60	-42
22	395.979666666667	475.086333333333	1579.48833333333	63	-39
23	404.211666666667	487.373	1642.969	66	-36
24	424.097333333333	515.356	1525.724	69	-33
25	389.405333333333	480.276	1558.282	72	-30
26	387.662666666667	477.635666666667	1611.715	75	-27
27	387.326333333333	481.355333333333	1652.93033333333	78	-24
28	383.04975	450.824	1605.12625	81	-21
29	386.18475	439.6185	1733.492	84	-18
30	395.53575	458.486	1663.9295	87	-15
31	399.2485	463.62125	1715.46125	90	-12
32	405.15475	471.69075	1686.8655	93	-9
33	399.62075	471.52725	1699.09575	96	-6
34	374.0115	436.7225	1916.06325	99	-3
35	451.62475	474.089	2087.38175	102	0
36	541.853	465.90075	2479.5545	105	3
37	519.98625	406.56	2431.40375	108	6
38	483.642	397.23525	2343.26575	111	9
39	422.96675	391.476	1886.2895	114	12
40	437.76825	420.80825	1884.20075	117	15
41	454.258	444.58275	1914.55275	120	18
