"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	831.274857142857	337.302714285714	985.680857142857	0	-48
2	782.046166666667	322.8545	1148.90116666667	3	-45
3	829.562142857143	341.095571428571	1045.47928571429	6	-42
4	792.145142857143	330.304	1195.44942857143	9	-39
5	803.331142857143	336.132857142857	1209.75471428571	12	-36
6	780.755428571429	330.088142857143	1296.51014285714	15	-33
7	790.513	336.773857142857	1300.61614285714	18	-30
8	782.113285714286	337.733	1437.038	21	-27
9	773.329142857143	335.387142857143	1492.73471428571	24	-24
10	776.521	343.545285714286	1610.78571428571	27	-21
11	776.269285714286	351.215	1585.44171428571	30	-18
12	744.868666666667	346.4835	1763.78466666667	33	-15
13	731.643333333333	345.8545	1851.3055	36	-12
14	696.5974	333.7664	1987.3964	39	-9
15	690.279	330.6744	2072.3046	42	-6
16	761.190333333333	352.028333333333	1667.86633333333	45	-3
17	723.58925	346.26625	2116.009	48	0
18	1092.653	415.63775	2351.2405	51	3
19	1189.1068	406.5532	2020.5622	54	6
20	1196.17875	393.4255	2146.72925	57	9
21	1113.41675	380.4855	2054.7545	60	12
22	1039.74575	381.26625	1900.51875	63	15
