"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	1091.95791988027	433.122221875521	434.920135538798	0	-48
2	1055.18849389536	432.581947575291	437.689542490823	3	-45
3	1059.89749184398	437.43578382899	434.25360364862	6	-42
4	1013.91135834385	425.135977749184	434.928153729063	9	-39
5	1029.74066984182	430.94258933366	434.266945212203	12	-36
6	1001.922130792	420.808525692406	438.466634501234	15	-33
7	1027.18979378944	433.634123711713	437.415303710694	18	-30
8	1003.58193256313	431.134393009642	433.490797004546	21	-27
9	984.846353214325	424.405389431935	434.679433456109	24	-24
10	994.669981470385	435.230369052906	432.032506122635	27	-21
11	986.143049439876	439.285929099784	438.179563821556	30	-18
12	975.760275333028	443.287346193419	472.1642910248	33	-15
13	958.545714923468	441.674491428214	479.15076945524	36	-12
14	946.939655253751	442.297639451137	488.114099081964	39	-9
15	937.426759721063	443.056708290844	495.698168652449	42	-6
16	962.933522989226	448.483899408018	434.201764067366	45	-3
17	942.934747168246	456.51597619154	473.080298244108	48	0
18	892.973121782664	431.350240333098	469.3474229901	51	3
19	810.908071745893	391.93226820109	477.234473905827	54	6
20	750.488855242445	376.565478600021	496.054896278081	57	9
21	730.448857163522	383.994543516987	511.305034748693	60	12
22	706.268875296472	379.967051018286	493.257372929618	63	15
