"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
2	NA	NA	NA	3	-96
3	NA	NA	NA	6	-93
4	NA	NA	NA	9	-90
5	NA	NA	NA	12	-87
6	NA	NA	NA	15	-84
7	NA	NA	NA	18	-81
8	461.214285714286	979.642857142857	412.083333333333	21	-78
9	471.392628205128	1005.26121794872	405.086538461538	24	-75
10	509.751831501831	1144.00457875458	431.570512820513	27	-72
11	500.384863123994	1086.90821256039	418.973429951691	30	-69
12	540.833333333333	1198.64444444444	386.8	33	-66
13	543.864435864436	1222.95323895324	391.892921492921	36	-63
14	549.598484848485	1181.98232323232	399.77398989899	39	-60
15	556.55202661827	1159.71778584392	385.868118572293	42	-57
16	534.58961038961	1160.98008658009	392.325108225108	45	-54
17	568.069346893374	1280.077896075	388.638805021452	48	-51
18	538.280808080808	1228.89865319865	386.815151515152	51	-48
19	516.648148148148	1165.07897603486	375.598039215686	54	-45
20	516.075391180654	1216.16429587482	392.075391180654	57	-42
21	514.447966507177	1191.51674641148	410.303229665072	60	-39
22	486.981319554849	1132.44236883943	415.643879173291	63	-36
23	535.696741854637	1252.25626566416	391.25626566416	66	-33
24	517.489880952381	1164.17916666667	398.506547619048	69	-30
25	527.987440191388	1239.93779904306	404.638157894737	72	-27
26	507.772978959025	1188.60852713178	397.174418604651	75	-24
27	533.475537548139	1247.91753851091	378.841110397946	78	-21
28	518.881547619048	1209.92321428571	387.809523809524	81	-18
29	472.319870176704	1088.6321673278	403.140822214208	84	-15
30	469.152173913043	1059.13781055901	393.604037267081	87	-12
31	461.38428030303	1072.97575757576	422.334659090909	90	-9
32	410.2	970.092307692308	417.784615384615	93	-6
33	413.508196721311	950.672131147541	417.508196721311	96	-3
34	444.094966761633	1105.52469135802	380.326685660019	99	0
35	437.751149425287	1069.67528735632	400.585057471264	102	3
36	468.250440917108	1193.63315696649	390.350970017637	105	6
37	438.747638326586	1164.02159244264	385.367071524966	108	9
38	401.12037037037	1022.37878787879	382.180134680135	111	12
39	417.007936507937	977.355158730159	378.563095238095	114	15
40	447.521739130435	1059.91304347826	369.173913043478	117	18
41	NA	NA	NA	120	21
42	NA	NA	NA	123	24
43	NA	NA	NA	126	27
44	NA	NA	NA	129	30
45	NA	NA	NA	132	33
46	NA	NA	NA	135	36
47	NA	NA	NA	138	39
48	NA	NA	NA	141	42
