"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
2	NA	NA	NA	3	-96
3	NA	NA	NA	6	-93
4	NA	NA	NA	9	-90
5	NA	NA	NA	12	-87
6	NA	NA	NA	15	-84
7	NA	NA	NA	18	-81
8	442.181	937.012	539.236	21	-78
9	447.57	950.9115	561.764	24	-75
10	472.144	1001.0285	592.533	27	-72
11	443.071	939.067	579.043	30	-69
12	499.788333333333	1080.16633333333	474.866333333333	33	-66
13	513.661	1125.142	474.286666666667	36	-63
14	523.0595	1091.8525	497.51	39	-60
15	532.996	1104.72	475.666	42	-57
16	499.099	1071.035	534.0615	45	-54
17	555.725333333333	1222.59433333333	487.968333333333	48	-51
18	509.915	1160.86066666667	508.513	51	-48
19	489.384333333333	1093.79766666667	536.285666666667	54	-45
20	453.2555	1013.871	596.6455	57	-42
21	464.0965	1051.1455	595.7845	60	-39
22	439.821	971.1895	612.1775	63	-36
23	503.94	1173.8765	528.034	66	-33
24	469.04	1043.1145	557.478	69	-30
25	498.9685	1119.5615	534.583	72	-27
26	479.794	1079.621	545.8105	75	-24
27	501.09125	1137.39175	521.55325	78	-21
28	505.5085	1124.273	528.83	81	-18
29	435.6095	968.203	583.2845	84	-15
30	443.8355	971.384	533.554	87	-12
31	449.683	1021.559	600.154	90	-9
32	395.759	915.56	572.598	93	-6
33	382.671	836.423	529.09	96	-3
34	440.548333333333	1085.92566666667	466.095666666667	99	0
35	423.2265	996.694	552.889	102	3
36	471.655666666667	1200.40166666667	484.711	105	6
37	438.916	1163.03166666667	486.935666666667	108	9
38	402.591	992.0635	455.0735	111	12
39	416.948	988.0455	460.6535	114	15
40	440.429	1053.69	391.476	117	18
41	NA	NA	NA	120	21
42	NA	NA	NA	123	24
43	NA	NA	NA	126	27
44	NA	NA	NA	129	30
45	NA	NA	NA	132	33
46	NA	NA	NA	135	36
47	NA	NA	NA	138	39
48	NA	NA	NA	141	42
