"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
3	374.55	494.35	267.45	6	-27
4	372.65	472.55	282.4	9	-24
5	366.277777777778	478	264.222222222222	12	-21
6	379.324675324675	509.094155844156	263.454545454545	15	-18
7	408.906926406926	568.212121212121	268.397186147186	18	-15
8	438.416666666667	592.541666666667	252.791666666667	21	-12
9	393.136363636364	536.681818181818	242.318181818182	24	-9
10	374.095238095238	534.095238095238	270.857142857143	27	-6
11	385.916666666667	556.125	260.333333333333	30	-3
12	382.461538461538	559.115384615385	276.730769230769	33	0
13	422.372988505747	626.92183908046	277.48908045977	36	3
14	586.024487857821	842.812847646181	290.951634784968	39	6
15	655.955873015873	931.253968253968	270.448571428571	42	9
16	637.314074074074	881.663703703704	276.122962962963	45	12
17	546.959752321981	768.075077399381	270.321207430341	48	15
18	537.262987012987	771.564935064935	270.908441558442	51	18
19	573.17218831735	862.508718395815	270.652571926766	54	21
20	580.758070628768	922.533264427218	263.380740740741	57	24
21	587.191704494336	975.736821657874	265.607451028504	60	27
22	577.779335912315	976.427895981088	265.568611648399	63	30
23	613.238325281804	1119.22793880837	269.622826086957	66	33
24	592.911275148357	1094.50571718049	267.812129106962	69	36
25	620.428082492321	1162.52842182244	265.665976305397	72	39
26	619.503628117914	1192.81496598639	263.928798185941	75	42
