"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-36
2	336.79	670.366	374.342	3	-33
3	342.775	662.367	493.226	6	-30
4	345.9515	675.025	544.2425	9	-27
5	363.148	726.6605	521.926	12	-24
6	381.324	779.581	491.7565	15	-21
7	390.427	819.4795	446.7395	18	-18
8	381.1295	799.6785	458.3745	21	-15
9	387.780333333333	821.170333333333	461.897333333333	24	-12
10	402.724	887.863	450.4385	27	-9
11	301.574	587.858333333333	531.742333333333	30	-6
12	259.994	472.978333333333	742.319666666667	33	-3
13	234.622	395.263666666667	897.397	36	0
14	361.846	776.59875	501.0535	39	3
15	375.85425	835.70175	491.90275	42	6
16	429.148	1042.255	471.9985	45	9
17	417.4945	1069.63525	467.621	48	12
18	423.00175	1058.88525	475.87475	51	15
19	417.079333333333	1030.30466666667	460.351666666667	54	18
20	461.6885	1089.4	532.557	57	21
21	498.1495	1179.8495	725.425	60	24
22	499.859	1270.50266666667	672.387	63	27
23	520.876666666667	1419.11233333333	694.873666666667	66	30
24	555.059666666667	1550.843	728.390666666667	69	33
25	NA	NA	NA	72	36
26	NA	NA	NA	75	39
27	NA	NA	NA	78	42
28	NA	NA	NA	81	45
