"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	NA	NA	NA	0	-36
2	1.16425949100161	1.29888604796977	0.661484471083843	3	-33
3	1.13369203860611	1.15416831356236	0.852182667094387	6	-30
4	1.18997631179457	1.24615782235063	0.877229201617745	9	-27
5	1.18210535469401	1.16838334722619	0.863538907896214	12	-24
6	1.24686062301271	1.26314416494511	0.796027212451183	15	-21
7	1.24885658106199	1.28183156895059	0.753027894653322	18	-18
8	1.31516707471303	1.45229253303251	0.696804160383324	21	-15
9	1.29088177952191	1.31288074570715	0.688417459654717	24	-12
10	1.36357075692555	1.43253221159387	0.688579033940324	27	-9
11	1.01756158460608	0.948033872348438	0.773063970126939	30	-6
12	0.864894226222582	0.73241921635149	1.04193113115474	33	-3
13	0.7612530620853	0.582714520018564	1.43628496237679	36	0
14	1.20351829688443	1.29121690655566	0.868121929519838	39	3
15	1.03603049205724	1.10784473149591	0.640720149444089	42	6
16	0.764607350578196	1.04972544611769	0.606740924107561	45	9
17	0.694591844968385	1.09218356166109	0.605578819161384	48	12
18	0.773197190667567	1.05461913980961	0.721537628387141	51	15
19	0.824328874568982	1.07938879262238	0.772212311347406	54	18
20	0.92536530157799	1.14168159617441	0.876323531992944	57	21
21	0.9508196654261	1.14428797227643	1.08517118456699	60	24
22	0.937350701537019	1.14049429993426	1.00972718947038	63	27
23	0.97610288441958	1.21962565665969	1.05453664724001	66	30
24	1.02457520738276	1.25041434174748	1.10229541166286	69	33
25	NA	NA	NA	72	36
26	NA	NA	NA	75	39
27	NA	NA	NA	78	42
28	NA	NA	NA	81	45
