"n_1"	"mean_1"	"sd_1"	"n_2"	"mean_2"	"sd_2"	"time"	"lower_1"	"upper_1"	"lower_2"	"upper_2"
2	NA	NA	2	NA	NA	-93	NA	NA	NA	NA
2	NA	NA	2	NA	NA	-90	NA	NA	NA	NA
2	NA	NA	2	NA	NA	-87	NA	NA	NA	NA
2	NA	NA	2	NA	NA	-84	NA	NA	NA	NA
2	NA	NA	2	NA	NA	-81	NA	NA	NA	NA
3	NA	NA	3	NA	NA	-78	NA	NA	NA	NA
4	NA	NA	4	NA	NA	-75	NA	NA	NA	NA
4	NA	NA	4	NA	NA	-72	NA	NA	NA	NA
4	NA	NA	4	NA	NA	-69	NA	NA	NA	NA
4	NA	NA	4	NA	NA	-66	NA	NA	NA	NA
4	NA	NA	4	NA	NA	-63	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-60	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-57	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-54	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-51	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-48	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-45	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-42	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-39	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-36	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-33	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-30	NA	NA	NA	NA
7	0.943673642834377	NA	7	1.20428781482711	NA	-27	NA	NA	NA	NA
7	0.941032947758939	NA	7	1.16862231366641	NA	-24	NA	NA	NA	NA
7	0.934782395159142	NA	7	1.11718455046269	NA	-21	NA	NA	NA	NA
7	0.95158974670289	NA	7	1.01709316108748	NA	-18	NA	NA	NA	NA
9	0.965596317242449	0.0425753475360175	9	0.861269522485768	0.0843143581518178	-15	0.951404534730443	0.979788099754455	0.833164736435163	0.889374308536374
12	0.971081872808312	0.0373115176446845	12	1.05018661663701	0.0087289076797224	-12	0.960310965430296	0.981852780186328	1.0476667980377	1.05270643523632
12	0.981909479386532	0.0490405828107389	12	1.0264933133813	0.181806469021868	-9	0.967752682543034	0.99606627623003	0.974010306466202	1.07897632029639
12	0.973892044563959	0.0306645247850461	12	1.04776560771511	0.149262624457956	-6	0.965039958744349	0.982744130383568	1.00467719950973	1.09085401592048
13	0.96972123661111	0.0376323441481929	13	1.07299981610639	0.0203994032626221	-3	0.959283902269401	0.980158570952819	1.06734203961006	1.07865759260272
13	1	0	13	1	0	0	1	1	1	1
13	1.12421765560708	0.360577178017199	13	1.05942351839152	0.118660901723858	3	1.02421153990684	1.22422377130732	1.02651290565627	1.09233413112676
13	1.28492716050816	0.322146461659176	13	1.30725402691752	0.325138720519488	6	1.19557980776035	1.37427451325596	1.21707677088123	1.39743128295381
13	0.988205527802507	0.16204549497383	13	1.37923354851464	0.549278875429632	9	0.943262193872808	1.03314886173221	1.22689099852305	1.53157609850624
13	0.989223612083189	0.14159790073631	13	1.47296909904724	0.678731338721911	12	0.949951420421433	1.02849580374495	1.28472289566061	1.66121530243386
13	1.01669683525809	0.129477463875479	13	1.53380459537582	0.889862782234961	15	0.980786247948853	1.05260742256733	1.28700106541619	1.78060812533545
10	1.01420195808656	0.125957507733311	10	1.59934502962206	1.16429016754576	18	0.974370696803003	1.05403321937011	1.2311641509437	1.96752590830043
9	1.02855481374672	0.118513409734456	9	1.35965036136976	0.273457360026367	21	0.989050343835239	1.06805928365821	1.26849790802764	1.45080281471188
9	1.03612176814258	0.104707088416769	9	1.43761476816149	0.297755814641215	24	1.00121940533699	1.07102413094817	1.33836282994776	1.53686670637523
8	1.01514419334117	0.0827305732275084	8	1.42859644250013	0.268540763802751	27	0.985894518670864	1.04439386801149	1.33365294494516	1.5235399400551
8	1.01392191448917	0.0788575995182945	8	1.53140569544308	0.302264173949339	30	0.986041542805431	1.04180228617291	1.42453917188841	1.63827221899774
8	1.00888419491524	0.0829365199632176	8	1.52013595534147	0.387082766217857	33	0.979561707078236	1.03820668275224	1.38328153090493	1.65699037977802
8	1.02060699276519	0.0844452070514685	8	1.63560220267223	0.423442518981776	36	0.990751103492789	1.05046288203758	1.48589266436487	1.7853117409796
6	1.01232986270425	0.0897955787585566	6	1.52673914109482	0.379173164321366	39	0.975670971184859	1.04898875422365	1.37194234497085	1.68153593721879
6	1.00609572065522	0.0899360581946109	6	1.62212639087462	0.409347613201546	42	0.96937947864621	1.04281196266423	1.45501092757963	1.78924185416962
6	1.01619655712637	0.0687827429503307	6	1.70809103301809	0.376725252948409	45	0.98811611990348	1.04427699434926	1.55429359252734	1.86188847350885
6	0.992403104659285	0.116548186443149	6	1.6143250731158	0.465603569005421	48	0.944822506787206	1.03998370253136	1.42424321203546	1.80440693419613
6	1.02947223245932	0.120944671843199	6	1.65958643451894	0.455671899550376	51	0.980096776938621	1.07884768798002	1.47355916051508	1.84561370852281
